commit_id,authored_date,author_name,author_email,message,new_path,old_path,lines_added,lines_removed,new_file,renamed_file,deleted_file,file_language
45931cb4,2024-02-06 14:00:00,Carlos,carlos@softcorp.io,Add feature,src/file_1.xml,src/file_1.xml,24,0,True,False,False,XML
437f2944,2024-02-06 16:00:00,Carlos,carlos@softcorp.io,Initial commit,src/file_1.xml,src/file_1.xml,0,24,False,False,True,XML
L0000001,2024-02-06 15:00:00,Bob,bob@example.com,Improve docs,src/file_2.py,src/file_2.py,23,0,True,False,False,Python
ca44eeba,2024-02-07 12:00:00,Mike,mike@devmail.com,Refactor code,src/file_2.py,src/file_2.py,24,7,False,False,False,Python
4351f64f,2024-02-07 15:00:00,Carol,carol@example.com,Add feature,src/file_2.py,src/file_2.py,15,8,False,False,False,Python
75ade1cf,2024-02-08 11:00:00,Mike,mike@devmail.com,Initial commit,src/file_2.py,src/file_2.py,28,7,False,False,False,Python
0df2131f,2024-02-08 13:00:00,Carol,carol@example.com,Improve docs,src/file_2.py,src/file_2.py,10,6,False,False,False,Python
44781cad,2024-02-09 13:00:00,Alice,alice@example.com,Remove unused imports,src/file_2.py,src/file_2.py,16,8,False,False,False,Python
fb6e9691,2024-02-12 12:00:00,Mike,mike@devmail.com,Add feature,src/file_2.py,src/file_2.py,28,6,False,False,False,Python
fdb98e48,2024-02-12 15:00:00,Carol,carol@example.com,Initial commit,src/file_2.py,src/file_2.py,11,7,False,False,False,Python
baf5b203,2024-02-13 13:00:00,Alice,alice@example.com,Initial commit,src/file_2.py,src/file_2.py,16,8,False,False,False,Python
9eb936a5,2024-02-14 11:00:00,Alice,alice@example.com,Refactor code,src/file_2.py,src/file_2.py,17,5,False,False,False,Python
b1c36969,2024-02-14 13:00:00,Carol,carol@example.com,Fix bug,src/file_2.py,src/file_2.py,21,7,False,False,False,Python
bb8036a5,2024-02-14 15:00:00,Carol,carol@example.com,Refactor code,src/file_2.py,src/file_2.py,24,7,False,False,False,Python
397d8d64,2024-02-15 12:00:00,Alice,alice@example.com,Remove unused imports,src/file_2.py,src/file_2.py,24,7,False,False,False,Python
cf7c0133,2024-02-15 16:00:00,Alice,alice@example.com,Remove unused imports,src/file_2.py,src/file_2.py,16,9,False,False,False,Python
e0e500e2,2024-02-16 11:00:00,Mike,mike@devmail.com,Add feature,src/file_2.py,src/file_2.py,24,6,False,False,False,Python
2257d1fb,2024-02-16 13:00:00,Mike,mike@devmail.com,Remove unused imports,src/file_2.py,src/file_2.py,17,5,False,False,False,Python
f03ba803,2024-02-16 15:00:00,Alice,alice@example.com,Refactor code,src/file_2.py,src/file_2.py,12,6,False,False,False,Python
a433e3d7,2024-02-19 11:00:00,Mike,mike@devmail.com,Initial commit,src/file_2.py,src/file_2.py,19,9,False,False,False,Python
a5fe4cfc,2024-02-19 14:00:00,Carol,carol@example.com,Improve docs,src/file_2.py,src/file_2.py,17,6,False,False,False,Python
afd79dbe,2024-02-20 11:00:00,Mike,mike@devmail.com,Add feature,src/file_2.py,src/file_2.py,24,6,False,False,False,Python
7ae8cb4e,2024-02-20 15:00:00,Alice,alice@example.com,Refactor code,src/file_2.py,src/file_2.py,25,5,False,False,False,Python
0912a18e,2024-02-21 13:00:00,Alice,alice@example.com,Improve docs,src/file_2.py,src/file_2.py,20,8,False,False,False,Python
4a711206,2024-02-21 16:00:00,Alice,alice@example.com,Add feature,src/file_2.py,src/file_2.py,25,7,False,False,False,Python
7c1fc3a9,2024-02-22 11:00:00,Mike,mike@devmail.com,Refactor code,src/file_2.py,src/file_2.py,22,6,False,False,False,Python
9610b53f,2024-02-23 11:00:00,Mike,mike@devmail.com,Add feature,src/file_2.py,src/file_2.py,8,4,False,False,False,Python
A0000002,2024-02-23 14:00:00,Carol,carol@example.com,Improve docs,src/file_2.py,src/file_2.py,114,0,False,False,False,Python
T0000003,2024-02-24 04:00:00,Mike,mike@devmail.com,Initial commit,src/file_2.py,src/file_2.py,16,7,False,False,False,Python
d000d9bb,2024-02-27 12:00:00,Mike,mike@devmail.com,Refactor code,src/file_2.py,src/file_2.py,15,9,False,False,False,Python
b0a7b043,2024-02-27 15:00:00,Alice,alice@example.com,Fix bug,src/file_2.py,src/file_2.py,22,7,False,False,False,Python
6aa9a806,2024-02-28 12:00:00,Mike,mike@devmail.com,Initial commit,src/file_2.py,src/file_2.py,19,4,False,False,False,Python
6390ce46,2024-02-29 13:00:00,Mike,mike@devmail.com,Add feature,src/file_2.py,src/file_2.py,22,10,False,False,False,Python
1bd72ea4,2024-02-29 16:00:00,Alice,alice@example.com,Improve docs,src/file_2.py,src/file_2.py,28,5,False,False,False,Python
2e99574d,2024-03-01 13:00:00,Alice,alice@example.com,Fix bug,src/file_2.py,src/file_2.py,14,6,False,False,False,Python
47d7f52b,2024-03-01 15:00:00,Alice,alice@example.com,Add feature,src/file_2.py,src/file_2.py,17,8,False,False,False,Python
4069299b,2024-03-04 12:00:00,Mike,mike@devmail.com,Improve docs,src/file_2.py,src/file_2.py,18,6,False,False,False,Python
4c0dc08b,2024-03-04 16:00:00,Alice,alice@example.com,Fix bug,src/file_2.py,src/file_2.py,21,9,False,False,False,Python
b001d592,2024-03-05 12:00:00,Alice,alice@example.com,Add feature,src/file_2.py,src/file_2.py,18,11,False,False,False,Python
f91ef072,2024-03-05 15:00:00,Carol,carol@example.com,Improve docs,src/file_2.py,src/file_2.py,15,9,False,False,False,Python
a21e9c2f,2024-03-06 12:00:00,Mike,mike@devmail.com,Improve docs,src/file_2.py,src/file_2.py,29,8,False,False,False,Python
b8cb701b,2024-03-06 15:00:00,Alice,alice@example.com,Improve docs,src/file_2.py,src/file_2.py,25,8,False,False,False,Python
3c42fc0c,2024-03-06 17:00:00,Carol,carol@example.com,Improve docs,src/file_2.py,src/file_2.py,16,6,False,False,False,Python
77dc934e,2024-03-07 13:00:00,Carol,carol@example.com,Remove unused imports,src/file_2.py,src/file_2.py,20,7,False,False,False,Python
7b8b605e,2024-03-07 15:00:00,Alice,alice@example.com,Initial commit,src/file_2.py,src/file_2.py,29,7,False,False,False,Python
0c3d00fa,2024-03-08 11:00:00,Alice,alice@example.com,Initial commit,src/file_2.py,src/file_2.py,16,7,False,False,False,Python
dce6a824,2024-03-08 15:00:00,Carol,carol@example.com,Remove unused imports,src/file_2.py,src/file_2.py,13,5,False,False,False,Python
ebda98a9,2024-03-11 12:00:00,Mike,mike@devmail.com,Refactor code,src/file_2.py,src/file_2.py,20,1,False,False,False,Python
